,Word,Count,Length,Frequency
520,scena,3,5,Infrequent
521,secundaenter,2,12,Infrequent
522,claudius,1,8,Unique
523,denmarke,16,8,Frequent
524,gertrude,13,8,Frequent
525,q,1,1,Unique
526,polonius,20,8,Frequent
527,laertes,32,7,Frequent
528,sister,7,6,Infrequent
529,ophelia,27,7,Frequent
530,lords,4,5,Infrequent
531,attendant,3,9,Infrequent
532,yet,35,3,Frequent
533,deere,20,5,Frequent
534,brothers,9,8,Infrequent
535,memory,7,6,Infrequent
536,greene,1,6,Unique
537,befittedto,1,10,Unique
538,beare,12,5,Frequent
539,hearts,3,6,Infrequent
540,greefe,10,6,Infrequent
541,whole,8,5,Infrequent
542,ki,2,2,Infrequent
543,contracted,1,10,Unique
544,brow,4,4,Infrequent
545,woe,8,3,Infrequent
546,farre,11,5,Frequent
547,discretion,3,10,Infrequent
548,fought,1,6,Unique
549,nature,22,6,Frequent
550,wisest,3,6,Infrequent
551,sorrow,5,6,Infrequent
552,remembrance,2,11,Infrequent
553,selues,11,6,Frequent
554,queene,35,6,Frequent
555,imperiall,2,9,Infrequent
556,ioyntresse,1,10,Unique
557,twere,9,5,Infrequent
558,defeated,1,8,Unique
559,ioy,8,3,Infrequent
560,auspicious,1,10,Unique
561,dropping,1,8,Unique
562,eyewith,1,7,Unique
563,mirth,2,5,Infrequent
564,funerall,2,8,Infrequent
565,dirge,1,5,Unique
566,marriage,6,8,Infrequent
567,equall,2,6,Infrequent
568,scale,2,5,Infrequent
569,weighing,1,8,Unique
570,delight,2,7,Infrequent
571,dole,1,4,Unique
572,taken,2,5,Infrequent
573,wife,7,4,Infrequent
574,barrd,1,5,Unique
575,better,13,6,Frequent
576,wisedomes,1,9,Unique
577,freely,4,6,Infrequent
578,affaire,3,7,Infrequent
579,followes,4,8,Infrequent
580,holding,1,7,Unique
581,weake,2,5,Infrequent
582,supposall,1,9,Unique
583,worth,1,5,Unique
584,thinking,3,8,Infrequent
585,late,9,4,Infrequent
586,disioynt,1,8,Unique
587,out,50,3,Frequent
588,frame,4,5,Infrequent
589,colleagued,1,10,Unique
590,dreame,5,6,Infrequent
591,aduantage,1,9,Unique
592,fayld,1,5,Unique
593,pester,1,6,Unique
594,message,1,7,Unique
595,importing,2,9,Infrequent
596,surrender,1,9,Unique
597,bonds,2,5,Infrequent
598,brother,7,7,Infrequent
599,voltemand,3,9,Infrequent
600,cornelius,4,9,Infrequent
601,meeting,2,7,Infrequent
602,businesse,8,9,Infrequent
603,writ,6,4,Infrequent
604,vncle,3,5,Infrequent
605,impotent,1,8,Unique
606,bedrid,1,6,Unique
607,scarsely,1,8,Unique
608,heares,1,6,Unique
609,nephewes,2,8,Infrequent
610,purpose,11,7,Frequent
611,suppresse,2,9,Infrequent
612,further,11,7,Frequent
613,gate,2,4,Infrequent
614,leuies,2,6,Infrequent
615,lists,1,5,Unique
616,proportions,1,11,Unique
617,dispatch,2,8,Infrequent
618,bearing,1,7,Unique
619,greeting,1,8,Unique
620,old,17,3,Frequent
621,giuing,3,6,Infrequent
622,personall,1,9,Unique
623,these,40,5,Frequent
624,dilated,1,7,Unique
625,articles,1,8,Unique
626,allow,1,5,Unique
627,farewell,15,8,Frequent
628,commend,4,7,Infrequent
629,volt,2,4,Infrequent
630,things,10,6,Infrequent
631,ou,1,2,Unique
632,doubt,9,5,Infrequent
633,heartily,3,8,Infrequent
634,whats,12,5,Frequent
635,newes,10,5,Infrequent
636,told,5,4,Infrequent
637,suite,2,5,Infrequent
638,cannot,25,6,Frequent
639,reason,10,6,Infrequent
640,daneand,1,7,Unique
641,loose,5,5,Infrequent
642,voyce,8,5,Infrequent
643,wouldst,4,7,Infrequent
644,beg,1,3,Unique
645,lae,1,3,Unique
646,asking,2,6,Infrequent
647,natiue,4,6,Infrequent
648,instrumentall,1,13,Unique
649,mouth,4,5,Infrequent
650,throne,2,6,Infrequent
651,laer,60,4,Frequent
652,dread,5,5,Infrequent
653,lord,206,4,Frequent
654,leaue,26,5,Frequent
655,fauour,3,6,Infrequent
656,returne,4,7,Infrequent
657,france,4,6,Infrequent
658,whence,1,6,Unique
659,willingly,2,9,Infrequent
660,came,7,4,Infrequent
661,coronation,1,10,Unique
662,must,57,4,Frequent
663,confesse,4,8,Infrequent
664,donemy,1,6,Unique
665,thoughts,16,8,Frequent
666,wishes,1,6,Unique
667,bend,3,4,Infrequent
668,towards,2,7,Infrequent
669,bow,2,3,Infrequent
670,pardon,6,6,Infrequent
671,fathers,20,7,Frequent
672,pollonius,1,9,Unique
673,pol,49,3,Frequent
674,beseech,7,7,Infrequent
675,go,49,2,Frequent
676,best,9,4,Infrequent
677,graces,2,6,Infrequent
678,spend,1,5,Unique
679,cosin,3,5,Infrequent
680,sonne,20,5,Frequent
681,ham,337,3,Frequent
682,little,12,6,Frequent
683,kin,15,3,Frequent
684,lesse,6,5,Infrequent
685,kinde,9,5,Infrequent
686,clouds,3,6,Infrequent
687,still,18,5,Frequent
688,hang,4,4,Infrequent
689,ith,19,3,Frequent
690,sun,3,3,Infrequent
691,queen,8,5,Infrequent
692,colour,4,6,Infrequent
693,offand,1,6,Unique
694,thine,12,5,Frequent
695,eye,13,3,Frequent
696,friend,10,6,Infrequent
697,veyled,1,6,Unique
698,lids,1,4,Unique
699,seeke,8,5,Infrequent
700,noble,16,5,Frequent
701,dust,7,4,Infrequent
702,knowst,2,6,Infrequent
703,common,8,6,Infrequent
704,liues,3,5,Infrequent
705,dye,5,3,Infrequent
706,passing,3,7,Infrequent
707,through,6,7,Infrequent
708,eternity,1,8,Unique
709,madam,12,5,Frequent
710,seemes,8,6,Infrequent
711,alone,10,5,Infrequent
712,inky,1,4,Unique
713,cloake,1,6,Unique
714,mother,37,6,Frequent
715,customary,1,9,Unique
716,suites,2,6,Infrequent
717,solemne,2,7,Infrequent
718,blacke,7,6,Infrequent
719,windy,1,5,Unique
720,suspiration,1,11,Unique
721,forcd,2,5,Infrequent
722,breath,13,6,Frequent
723,fruitfull,1,9,Unique
724,riuer,1,5,Unique
725,deiected,1,8,Unique
726,hauiour,1,7,Unique
727,visage,5,6,Infrequent
728,formes,3,6,Infrequent
729,moods,1,5,Unique
730,shewes,6,6,Infrequent
731,griefe,2,6,Infrequent
732,denote,1,6,Unique
733,truly,5,5,Infrequent
734,indeed,26,6,Frequent
735,seeme,7,5,Infrequent
736,actions,1,7,Unique
737,man,43,3,Frequent
738,play,34,4,Frequent
739,within,18,6,Frequent
740,passeth,1,7,Unique
741,show,4,4,Infrequent
742,trappings,1,9,Unique
743,sweet,22,5,Frequent
744,commendable,1,11,Unique
745,mourning,1,8,Unique
746,duties,1,6,Unique
747,suruiuer,1,8,Unique
748,bound,4,5,Infrequent
749,filiall,1,7,Unique
750,obligation,2,10,Infrequent
751,terme,2,5,Infrequent
752,obsequious,1,10,Unique
753,perseuer,1,8,Unique
754,obstinate,1,9,Unique
755,condolement,1,11,Unique
756,impious,1,7,Unique
757,stubbornnesse,1,13,Unique
758,vnmanly,1,7,Unique
759,incorrect,1,9,Unique
760,vnfortified,1,11,Unique
761,minde,8,5,Infrequent
762,impatient,1,9,Unique
763,vnderstanding,3,13,Infrequent
764,simple,1,6,Unique
765,vnschoold,1,9,Unique
766,vulgar,2,6,Infrequent
767,sence,3,5,Infrequent
768,should,50,6,Frequent
769,peeuish,1,7,Unique
770,opposition,2,10,Infrequent
771,fye,2,3,Infrequent
772,fault,4,5,Infrequent
773,absurd,2,6,Infrequent
774,theame,2,6,Infrequent
775,cried,2,5,Infrequent
776,first,17,5,Frequent
777,coarse,3,6,Infrequent
778,till,18,4,Frequent
779,dyed,2,4,Infrequent
780,throw,4,5,Infrequent
781,vnpreuayling,1,12,Unique
782,note,4,4,Infrequent
783,immediate,1,9,Unique
784,nobility,1,8,Unique
785,loue,60,4,Frequent
786,deerest,1,7,Unique
787,beares,2,6,Infrequent
788,intent,2,6,Infrequent
789,going,2,5,Infrequent
790,backe,5,5,Infrequent
791,schoole,1,7,Unique
792,wittenberg,3,10,Infrequent
793,retrograde,1,10,Unique
794,desire,7,6,Infrequent
795,remaine,1,7,Unique
796,cheere,2,6,Infrequent
797,comfort,1,7,Unique
798,cheefest,1,8,Unique
799,courtier,3,8,Infrequent
800,qu,62,2,Frequent
801,lose,4,4,Infrequent
802,her,89,3,Frequent
803,prayers,1,7,Unique
